Movie,"Release
Date",Distributor,"MPAA
Rating",Domestic Gross,"Inflation-Adjusted
Gross",Genre
Happy Tears,2010-02-19,Roadside Attractions,R,22464,22464,Drama
Un Proph?te,2010-02-26,Sony Pictures Classics,R,2087720,2087720,Drama
The Yellow Handkerchief,2010-02-26,Samuel Goldwyn Films,PG-13,318623,318623,Drama
Green Zone,2010-03-12,Universal,R,35497337,35497339,Drama
Remember Me,2010-03-12,Summit Entertainment,PG-13,19068240,19068240,Drama
Mother,2010-03-12,Magnolia Pictures,R,551509,551511,Drama
"Harimaya Bridge, The",2010-03-12,Eleven Arts,Not Rated,54473,54473,Drama
The Runaways,2010-03-19,Apparition,R,3573673,3573673,Drama
The Red Baron,2010-03-19,Monterey Media,PG-13,40789,40791,Drama
The Last Song,2010-03-31,Walt Disney,PG,62950384,62950384,Drama
Why Did I Get Married Too?,2010-04-02,Lionsgate,PG-13,60095852,60095852,Drama
The Greatest,2010-04-02,Paladin,R,115862,115865,Drama
Letters to God,2010-04-09,Vivendi Entertainment,PG,2848587,2848590,Drama
The Secret in Their Eyes,2010-04-16,Sony Pictures Classics,R,6391436,6391437,Drama
The Perfect Game,2010-04-16,Slowhand Cinema,PG,1089445,1089445,Drama
The City of Your Final Destination,2010-04-16,Hyde Park Films,PG-13,493296,493299,Drama
Handsome Harry,2010-04-16,Paladin,R,22878,22881,Drama
Mercy,2010-04-30,IFC Films,R,6780,6780,Drama
Letters to Juliet,2010-05-14,Summit Entertainment,PG,53032453,53032454,Drama
Princess Kaiulani,2010-05-14,Roadside Attractions,PG,883887,883887,Drama
Solitary Man,2010-05-21,Anchor Bay Entertainment,R,4360548,4360551,Drama
Holy Rollers,2010-05-21,First Independent Pictures,R,303064,303064,Drama
Agora,2010-05-28,Newmarket Films,R,619423,619423,Drama
Winter's Bone,2010-06-11,Roadside Attractions,R,6531503,6531503,Drama
Coco Chanel and Igor Stravinsky,2010-06-11,Sony Pictures Classics,R,1725982,1725985,Drama
The Killer Inside Me,2010-06-18,IFC Films,R,217277,217277,Drama
The Twilight Saga: Eclipse,2010-06-30,Summit Entertainment,PG-13,300531751,300531751,Drama
Love Ranch,2010-06-30,,R,137885,137886,Drama
Charlie St. Cloud,2010-07-30,Universal,PG-13,31206263,31206260,Drama
The Concert,2010-07-30,Weinstein Co.,PG-13,926009,926009,Drama
The Dry Land,2010-07-30,Freestyle Releasing,R,11777,11780,Drama
Step Up 3D,2010-08-06,Walt Disney,PG-13,42400223,42400223,Drama
Cairo Time,2010-08-06,IFC Films,PG,1603616,1603619,Drama
Lebanon,2010-08-06,Sony Pictures Classics,R,368088,368088,Drama
Eat Pray Love,2010-08-13,Sony Pictures,PG-13,80574010,80574013,Drama
Animal Kingdom,2010-08-13,Sony Pictures Classics,R,1044039,1044039,Drama
Mao's Last Dancer,2010-08-20,Samuel Goldwyn Films,PG,4806750,4806754,Drama
Takers,2010-08-27,Sony Pictures,PG-13,57744720,57744720,Drama
L'instinct de mort,2010-08-27,Music Box Films,R,551697,551697,Drama
We Are Family,2010-09-03,UTV Communications,PG,638144,638144,Drama
L'ennemi public n?1,2010-09-03,Music Box Films,R,275387,275387,Drama
San qiang pai an jing qi,2010-09-03,Sony Pictures Classics,R,190946,190946,Drama
Legendary,2010-09-10,Samuel Goldwyn Films,PG-13,200393,200393,Drama
"Lovely, Still",2010-09-10,Monterey Media,PG,127564,127566,Drama
The Trial,2010-09-10,,PG-13,19753,19757,Drama
Never Let Me Go,2010-09-15,Fox Searchlight,R,2434652,2434649,Drama
The Town,2010-09-17,Warner Bros.,R,92186262,92186262,Drama
Incendies,2010-09-17,Sony Pictures Classics,R,6857096,6857096,Drama
Contracorriente,2010-09-17,The Film Collaborative,Not Rated,108620,108620,Drama
You Will Meet a Tall Dark Stranger,2010-09-22,Sony Pictures Classics,R,3247816,3247816,Drama
Wall Street 2: Money Never Sleeps,2010-09-24,20th Century Fox,PG-13,52474616,52474616,Drama
Howl,2010-09-24,Oscilloscope Pictures,R,617334,617334,Drama
The Social Network,2010-10-01,Sony Pictures,PG-13,96962694,96962694,Drama
Secretariat,2010-10-08,Walt Disney,PG,59699513,59699513,Drama
Stone,2010-10-08,Overture Films,R,1810078,1810078,Drama
Nowhere Boy,2010-10-08,Weinstein Co.,R,1445366,1445369,Drama
Cherry,2010-10-08,,R,11362,11362,Drama
Conviction,2010-10-15,Fox Searchlight,R,6797696,6797693,Drama
Pure Country 2: The Gift,2010-10-15,Warner Bros.,PG,133771,133771,Drama
Rising Stars,2010-10-22,Screen Media Films,PG,0,0,Drama
Monsters,2010-10-29,Magnet Pictures,R,237301,237301,Drama
Welcome to the Rileys,2010-10-29,Samuel Goldwyn Films,R,152857,152861,Drama
Jolene,2010-10-29,Screen Media Films,R,0,0,Drama
Hors la loi,2010-11-03,Cohen Media Group,R,0,0,Drama
For Colored Girls,2010-11-05,Lionsgate,R,37729698,37729698,Drama
127 Hours,2010-11-05,Fox Searchlight,R,18335230,18335230,Drama
FairGame,2010-11-05,Summit Entertainment,PG-13,9540691,9540691,Drama
Made in Dagenham,2010-11-19,Sony Pictures Classics,R,1095369,1095369,Drama
Queen of the Lot,2010-11-19,Rainbow Releasing,R,178308,178308,Drama
Burlesque,2010-11-24,Sony Pictures,PG-13,39440655,39440655,Drama
Love and Other Drugs,2010-11-24,20th Century Fox,R,32367005,32367005,Drama
The King's Speech,2010-11-26,Weinstein Co.,PG-13,138797449,138797449,Drama
All Good Things,2010-12-03,Magnolia Pictures,R,582024,582024,Drama
Night Catches Us,2010-12-03,Magnolia Pictures,R,76185,76185,Drama
Applause,2010-12-03,World Wide Motion Pictures,R,0,0,Drama
The Fighter,2010-12-10,Paramount Pictures,R,93617009,93617009,Drama
The Tempest,2010-12-10,Miramax,PG-13,277943,277943,Drama
Hemingways Garden of Eden,2010-12-10,Roadside Attractions,R,22083,22084,Drama
Frankie and Alice,2010-12-10,Freestyle Releasing,R,10671,10671,Drama
Barney's Version,2010-12-17,Sony Pictures Classics,R,7502560,7502562,Drama
Rabbit Hole,2010-12-17,Lionsgate,PG-13,2229058,2229058,Drama
Country Strong,2010-12-22,Sony Pictures,PG-13,20218921,20218921,Drama
Somewhere,2010-12-22,Focus Features,R,1785645,1785645,Drama
Blue Valentine,2010-12-29,Weinstein Co.,R,9737892,9737892,Drama
Another Year,2010-12-29,Sony Pictures Classics,PG-13,3205706,3205706,Drama
Every Day,2011-01-14,Image Entertainment,R,46029,46029,Drama
The Company Men,2011-01-21,Weinstein Co.,R,4444612,4444612,Drama
MOOZ-lum,2011-02-11,Peace Film LLC,PG-13,362239,362239,Drama
In Her Skin,2011-02-11,IFC Films,R,0,0,Drama
Des Hommes et Des Dieux,2011-02-25,Sony Pictures Classics,PG-13,3954651,3954651,Drama
The Grace Card,2011-02-25,Samuel Goldwyn Films,PG-13,2430735,2430735,Drama
Beastly,2011-03-04,CBS Films,PG-13,27865571,27865571,Drama
Carmen 3D,2011-03-05,RealD,PG-13,0,0,Drama
Jane Eyre,2011-03-11,Focus Features,PG-13,11242660,11242660,Drama
Kill the Irishman,2011-03-11,Anchor Bay Entertainment,R,1188194,1188194,Drama
3 Backyards,2011-03-11,Screen Media Films,R,39475,39475,Drama
Win Win,2011-03-18,Fox Searchlight,R,10179275,10179275,Drama
Winter in Wartime,2011-03-18,Sony Pictures Classics,R,542860,542860,Drama
The Music Never Stopped,2011-03-18,Roadside Attractions,PG,258538,258538,Drama
Desert Flower,2011-03-18,National Geographic Entertainment,R,44348,44348,Drama
Cracks,2011-03-18,IFC Films,R,29683,29532,Drama
The 5th Quarter,2011-03-25,Rocky Mountain Pictures,PG,408159,408159,Drama
Miral,2011-03-25,Weinstein Co.,PG-13,377014,377014,Drama
White Irish Drinkers,2011-03-25,IFC Films,R,31056,31056,Drama
Haevnen,2011-04-01,Sony Pictures Classics,R,1008098,1008098,Drama
Trust,2011-04-01,Millenium Entertainment,R,120016,120016,Drama
Soul Surfer,2011-04-08,Sony Pictures,PG,43853424,43853424,Drama
Hanna,2011-04-08,Focus Features,PG-13,40259119,40259119,Drama
Meek's Cutoff,2011-04-08,Oscilloscope Pictures,PG,977772,977772,Drama
The Conspirator,2011-04-15,Roadside Attractions,PG-13,11538204,11538204,Drama
Atlas Shrugged: Part 1,2011-04-15,Rocky Mountain Pictures,PG-13,4752353,4752353,Drama
Daydream Nation,2011-04-15,Anchor Bay Entertainment,R,0,0,Drama
Water for Elephants,2011-04-22,20th Century Fox,PG-13,58709717,58709717,Drama
Madea's Big Happy Family,2011-04-22,Lionsgate,PG-13,53345287,53345287,Drama
Dum Maaro Dum,2011-04-22,Fox Searchlight,R,564489,564489,Drama
"Lebanon, PA",2011-04-29,Truly Indie,PG-13,48381,48381,Drama
That's What I Am,2011-04-29,Samuel Goldwyn Films,PG,6400,6400,Drama
Earthwork,2011-04-29,Shadow,PG,0,0,Drama
There Be Dragons,2011-05-06,Samuel Goldwyn Films,PG-13,1069334,1069334,Drama
The Bang Bang Club,2011-05-06,TriBeca Films,R,124791,124791,Drama
Last Night,2011-05-06,TriBeca Films,R,112087,112087,Drama
Harvest,2011-05-06,Monterey Media,R,24657,24657,Drama
Passion Play,2011-05-06,Image Entertainment,R,3669,3669,Drama
An Invisible Sign,2011-05-06,IFC Films,PG-13,1279,1270,Drama
A Heavenly Vintage,2011-05-06,Panorama Entertainment,R,0,0,Drama
Nanjing! Nanjing!,2011-05-11,Kino International,R,122558,122558,Drama
Everything Must Go,2011-05-13,Roadside Attractions,PG,2712131,2712131,Drama
Hesher,2011-05-13,Wrekin Hill Entertainment,R,382946,382946,Drama
The First Grader,2011-05-13,National Geographic Entertainment,PG-13,332306,332306,Drama
Go For It!,2011-05-13,Pantelion Films,PG-13,180237,180237,Drama
Decisions,2011-05-13,Self Distributed,R,153280,153280,Drama
Skateland,2011-05-13,Freestyle Releasing,PG-13,19412,19412,Drama
Cost of a Soul,2011-05-20,Relativity,R,29000,25365,Drama
Bloodworth,2011-05-20,Samuel Goldwyn Films,R,12971,12971,Drama
The Tree of Life,2011-05-27,Fox Searchlight,PG-13,13305665,13305665,Drama
Beginners,2011-06-03,Focus Features,R,5790894,5790894,Drama
Beautiful Boy,2011-06-03,Anchor Bay Entertainment,R,77247,77247,Drama
Bride Flight,2011-06-10,Music Box Films,R,501360,501360,Drama
The Ledge,2011-07-08,IFC Films,R,9216,9168,Drama
Snow Flower and the Secret Fan,2011-07-15,Fox Searchlight,PG-13,1348205,1348205,Drama
"Life, Above All",2011-07-15,Sony Pictures Classics,PG-13,134078,134078,Drama
Elle s'appelait Sarah,2011-07-22,Weinstein Co.,PG-13,7691700,7691700,Drama
Another Earth,2011-07-22,Fox Searchlight,PG-13,1321194,1321194,Drama
The Devil's Double,2011-07-29,Lionsgate,R,1361512,1361512,Drama
The Future,2011-07-29,Roadside Attractions,R,568662,568662,Drama
Golf in the Kingdom,2011-07-29,Golf in the Kingdom,PG,0,0,Drama
The Whistleblower,2011-08-05,Samuel Goldwyn Films,R,1120914,1120914,Drama
Gun Hill Road,2011-08-05,Motion Film Group,R,148994,148994,Drama
The Help,2011-08-10,Walt Disney,PG-13,169705587,169705587,Drama
One Day,2011-08-19,Focus Features,PG-13,13843771,13843771,Drama
Amigo,2011-08-19,Variance Films,R,184705,184705,Drama
5 Days of War,2011-08-19,Anchor Bay Entertainment,R,17479,17479,Drama
Higher Ground,2011-08-23,Sony Pictures Classics,R,841056,841056,Drama
Circumstance,2011-08-26,Roadside Attractions,R,454121,454121,Drama
Seven Days In Utopia,2011-09-02,Visio Entertainment,G,4367448,4367448,Drama
Cafe de flore,2011-09-02,Adopt Films,Not Rated,1574881,1574881,Drama
Warrior,2011-09-09,Lionsgate,PG-13,13657115,13657115,Drama
Tanner Hall,2011-09-09,Anchor Bay Entertainment,R,5073,5073,Drama
Main Street,2011-09-09,Magnolia Pictures,PG,2560,2560,Drama
One Fall,2011-09-09,Paladin,PG-13,0,0,Drama
Inside Out,2011-09-09,WWE Studios,PG-13,0,0,Drama
Restless,2011-09-16,Sony Pictures Classics,PG-13,163753,163141,Drama
Sykt lykkelig,2011-09-16,Magnolia Pictures,R,45154,45154,Drama
Moneyball,2011-09-23,Sony Pictures,PG-13,75605492,75605492,Drama
Dolphin Tale,2011-09-23,Warner Bros.,PG,72286779,72286779,Drama
Machine Gun Preacher,2011-09-23,Relativity,R,538690,538690,Drama
Puncture,2011-09-23,Millenium Entertainment,R,67071,67071,Drama
Courageous,2011-09-30,Sony Pictures,PG-13,34522221,34522221,Drama
Take Shelter,2011-09-30,Sony Pictures Classics,R,1728953,1728953,Drama
Margaret,2011-09-30,Fox Searchlight,R,47185,47185,Drama
The Ides of March,2011-10-07,Sony Pictures,R,40962534,40962534,Drama
The Way,2011-10-07,Producers Distribution Agency,PG-13,4430650,4430650,Drama
Xinhai geming,2011-10-07,Variance Films,R,135739,135739,Drama
Dirty Girl,2011-10-07,Weinstein Co.,R,53630,53630,Drama
La piel que habito,2011-10-14,Sony Pictures Classics,R,3185193,3185193,Drama
Father of Invention,2011-10-14,Anchor Bay Entertainment,PG-13,0,0,Drama
Margin Call,2011-10-21,Roadside Attractions,R,5353586,5353586,Drama
The Mighty Macs,2011-10-21,Quaker Media,G,1891936,1891936,Drama
Snowmen,2011-10-21,ARC Entertainment,PG,66000,66000,Drama
The Last Ride,2011-10-21,Category One,PG-13,22157,22157,Drama
Oranges and Sunshine,2011-10-21,Cohen Media Group,R,0,0,Drama
Norman,2011-10-21,AMC Independent,R,0,0,Drama
Cargo,2011-10-21,Persona Films,R,0,0,Drama
The Hammer,2011-10-27,D & E Entertainment,PG-13,0,0,Drama
The Rum Diary,2011-10-28,FilmDistrict,R,13109815,13109815,Drama
Like Crazy,2011-10-28,Paramount Pictures,PG-13,3395391,3395391,Drama
Monsieur Lazhar,2011-10-28,Music Box Films,PG-13,3371810,3371810,Drama
The Son of No One,2011-11-04,Anchor Bay Entertainment,R,30680,30680,Drama
Stuck Between Stations,2011-11-04,Wrekin Hill Entertainment,R,0,0,Drama
J. Edgar,2011-11-09,Warner Bros.,R,37306030,37306030,Drama
London Boulevard,2011-11-11,IFC Films,R,16075,10484,Drama
The Descendants,2011-11-16,Fox Searchlight,R,82624961,82624961,Drama
"The Twilight Saga: Breaking Dawn, Part 1",2011-11-18,Summit Entertainment,PG-13,281287133,281287133,Drama
Another Happy Day,2011-11-18,Phase 4 Films,R,9120,9120,Drama
My Week with Marilyn,2011-11-23,Weinstein Co.,R,14597405,14597405,Drama
A Dangerous Method,2011-11-23,Sony Pictures Classics,R,5702083,5702083,Drama
Rampart,2011-11-23,Millenium Entertainment,R,969239,969239,Drama
The Artist,2011-11-25,Weinstein Co.,PG-13,44667095,44667095,Drama
We Bought a Zoo,2011-11-26,20th Century Fox,PG,75624550,75624550,Drama
Shame,2011-12-02,Fox Searchlight,NC-17,4002293,4002293,Drama
Coriolanus,2011-12-02,Weinstein Co.,R,749641,749641,Drama
Autoreiji,2011-12-02,Magnolia Pictures,R,44745,44745,Drama
Answers to Nothing,2011-12-02,Roadside Attractions,R,22049,22049,Drama
A Warrior's Heart,2011-12-02,Xenon Pictures,PG,0,0,Drama
We need to Talk About Kevin,2011-12-09,Oscilloscope Pictures,R,1738692,1738692,Drama
W.E.,2011-12-09,Weinstein Co.,R,582075,582075,Drama
I Melt with You,2011-12-09,Magnolia Pictures,R,6361,6361,Drama
Catch .44,2011-12-09,Anchor Bay Entertainment,R,0,0,Drama
Carnage,2011-12-16,Sony Pictures Classics,R,2546747,2546747,Drama
Albert Nobbs,2011-12-21,Roadside Attractions,R,3014696,3014696,Drama
Jin l?ng sh? san chai,2011-12-21,Wrekin Hill Entertainment,R,311434,311434,Drama
In The Land of Blood and Honey,2011-12-23,FilmDistrict,R,303877,303877,Drama
War Horse,2011-12-25,Walt Disney,PG-13,79883359,79883359,Drama
Extremely Loud and Incredibly Close,2011-12-25,Warner Bros.,PG-13,31847881,31847881,Drama
Pariah,2011-12-28,Focus Features,R,769552,769552,Drama
The Iron Lady,2011-12-30,Weinstein Co.,PG-13,29959436,29959436,Drama
Jodaeiye Nader az Simin,2011-12-30,Sony Pictures Classics,PG-13,7098492,7098492,Drama
Angels Crest,2011-12-30,Magnolia Pictures,R,832,832,Drama
Miss Bala,2012-01-20,Mongrel Media,R,40540,40540,Drama
Big Miracle,2012-02-03,Universal,PG,20157300,20157300,Drama
The Vow,2012-02-10,Sony Pictures,PG-13,125014030,125014030,Drama
